transaction_id,account_id,transaction_type,transaction_amount,balance_before,balance_after,channel,location,timestamp,is_fraud
T00026,A1015,withdrawal,2408.05,5254.58,2846.5299999999997,mobile,Mutare,2025-03-27 16:52:31,0
T00027,A1007,deposit,4287.39,3331.79,7619.18,online,Harare,2025-05-02 05:02:51,0
T00028,A1043,payment,1527.64,9032.18,7504.54,online,Harare,2025-04-21 02:42:25,0
T00029,A1063,payment,2384.11,8370.65,5986.539999999999,ATM,Gweru,2025-04-19 08:05:55,0
T00030,A1029,transfer,573.94,9299.54,8725.6,ATM,Gweru,2025-04-04 15:25:11,0
T00031,A1096,payment,3285.22,8399.79,5114.5700000000015,online,Bulawayo,2025-04-05 06:00:09,1
T00032,A1074,deposit,559.97,4012.34,4572.31,branch,Masvingo,2025-05-03 16:03:58,0
T00033,A1028,payment,2644.61,3780.63,1136.02,mobile,Bulawayo,2025-05-20 01:55:33,0
T00034,A1002,deposit,206.98,1078.97,1285.95,branch,Harare,2025-04-29 15:19:31,0
T00035,A1056,payment,1695.27,7249.93,5554.66,online,Bulawayo,2025-03-31 09:24:11,0
T00036,A1083,payment,2762.96,7039.16,4276.2,online,Gweru,2025-04-04 09:52:17,0
T00037,A1087,transfer,1248.12,2908.76,1660.6400000000003,mobile,Masvingo,2025-04-25 04:59:59,0
T00038,A1097,deposit,4328.68,5211.38,9540.060000000001,online,Harare,2025-04-19 00:59:36,0
T00039,A1007,withdrawal,2197.24,6633.71,4436.47,online,Bulawayo,2025-04-21 00:33:06,0
T00040,A1074,deposit,3156.29,4480.69,7636.98,mobile,Bulawayo,2025-05-09 19:20:32,0
T00041,A1058,deposit,3489.13,5821.55,9310.68,branch,Harare,2025-03-23 22:48:43,0
T00042,A1049,deposit,1136.33,4794.72,5931.05,branch,Harare,2025-05-02 22:01:38,0
T00043,A1074,transfer,5102.35,7959.64,2857.29,mobile,Mutare,2025-05-03 02:05:04,0
T00044,A1068,transfer,4474.59,3332.49,-1142.1000000000004,branch,Masvingo,2025-03-22 23:14:37,1
T00045,A1078,payment,14.02,4525.24,4511.219999999999,mobile,Masvingo,2025-04-01 20:47:26,0
T00046,A1079,transfer,4242.53,9749.51,5506.9800000000005,branch,Bulawayo,2025-03-25 11:29:33,0
T00047,A1059,withdrawal,4957.74,3510.78,-1446.9599999999996,online,Bulawayo,2025-05-08 22:32:15,1
T00048,A1034,payment,550.87,4164.67,3613.8,ATM,Harare,2025-04-06 21:26:36,0
T00049,A1081,payment,122.28,4622.13,4499.85,online,Gweru,2025-05-10 20:12:15,0
T00050,A1099,deposit,2368.57,4978.5,7347.07,mobile,Masvingo,2025-05-17 04:42:51,0
T00051,A1074,withdrawal,2190.42,7054.97,4864.55,ATM,Bulawayo,2025-04-29 05:15:04,0
T00052,A1035,transfer,3897.98,5813.56,1915.5800000000004,online,Harare,2025-05-05 16:49:37,0
T00053,A1035,deposit,1444.69,3708.09,5152.780000000001,ATM,Mutare,2025-05-02 20:20:18,0
T00054,A1050,transfer,5278.66,6909.77,1631.1100000000006,branch,Gweru,2025-03-31 21:41:44,0
T00055,A1023,deposit,4070.71,3839.28,7909.99,online,Mutare,2025-04-02 22:00:38,0
T00056,A1037,transfer,4703.8,1863.84,-2839.96,online,Harare,2025-05-19 03:01:40,1
T00057,A1016,transfer,4921.79,9029.42,4107.63,mobile,Gweru,2025-05-16 00:06:13,0
T00058,A1040,transfer,1497.91,7921.06,6423.150000000001,mobile,Gweru,2025-04-11 22:18:16,0
T00059,A1059,transfer,2084.82,1751.73,-333.09000000000015,mobile,Harare,2025-03-30 14:18:50,1
T00060,A1030,withdrawal,4637.75,7899.95,3262.2,mobile,Gweru,2025-05-03 23:56:59,0
T00061,A1032,transfer,5707.32,7332.12,1624.8000000000002,online,Harare,2025-04-29 23:27:42,0
T00062,A1067,deposit,293.27,1373.92,1667.19,online,Masvingo,2025-04-06 20:27:43,0
T00063,A1004,payment,2882.81,3111.15,228.34000000000015,online,Masvingo,2025-04-03 12:19:01,0
T00064,A1067,withdrawal,2597.14,5292.33,2695.19,online,Mutare,2025-05-13 16:34:52,0
T00065,A1059,payment,1280.24,9161.82,7881.58,ATM,Harare,2025-04-22 10:41:08,0
T00066,A1009,transfer,3632.02,8183.89,4551.870000000001,ATM,Gweru,2025-05-02 16:04:12,0
T00067,A1037,withdrawal,2227.26,4756.93,2529.67,ATM,Harare,2025-04-14 11:21:26,0
T00068,A1043,deposit,147.92,6874.19,7022.11,mobile,Masvingo,2025-03-30 14:14:11,0
T00069,A1069,withdrawal,3985.58,3399.29,-586.29,ATM,Bulawayo,2025-03-25 01:34:39,1
T00070,A1100,withdrawal,1786.9,480.28,-1306.6200000000001,mobile,Mutare,2025-03-28 09:44:50,1
T00071,A1042,transfer,5148.07,2864.11,-2283.9599999999996,branch,Bulawayo,2025-04-15 13:20:22,1
T00072,A1037,deposit,4684.6,8354.66,13039.26,ATM,Mutare,2025-04-26 18:29:51,0
T00073,A1003,transfer,1536.24,5272.94,3736.7,branch,Mutare,2025-05-05 13:03:00,0
T00074,A1079,transfer,5296.22,7030.24,1734.0199999999995,ATM,Mutare,2025-04-10 04:35:29,0
T00075,A1023,deposit,3174.17,1914.51,5088.68,online,Gweru,2025-03-29 09:15:51,0
T00076,A1064,transfer,2577.35,9138.31,6560.959999999999,online,Mutare,2025-03-24 20:53:25,0
T00077,A1077,withdrawal,826.39,9693.58,8867.19,branch,Bulawayo,2025-03-26 10:36:30,0
T00078,A1020,transfer,3241.95,3315.65,73.70000000000027,branch,Mutare,2025-04-18 12:39:25,0
T00079,A1035,deposit,4542.2,5367.01,9909.21,online,Masvingo,2025-04-24 15:40:55,0
T00080,A1020,transfer,3665.6,447.23,-3218.37,branch,Gweru,2025-04-03 02:42:42,1
T00081,A1071,payment,5231.68,8296.11,3064.4300000000003,online,Gweru,2025-05-15 19:19:59,0
T00082,A1089,withdrawal,5039.18,2670.22,-2368.9600000000005,ATM,Mutare,2025-04-05 23:29:16,1
T00083,A1051,withdrawal,5005.53,6109.57,1104.04,branch,Gweru,2025-04-16 03:03:56,0
T00084,A1068,payment,2003.4,7800.8,5797.4,ATM,Gweru,2025-05-18 21:37:11,0
T00085,A1030,payment,5993.21,7296.68,1303.4700000000003,branch,Mutare,2025-04-08 02:15:07,0
T00086,A1060,deposit,1805.86,7757.8,9563.66,online,Gweru,2025-04-19 04:08:12,0
T00087,A1047,withdrawal,5831.7,6092.25,260.5500000000002,branch,Harare,2025-03-31 10:11:04,0
T00088,A1088,payment,1428.31,5245.34,3817.03,ATM,Gweru,2025-04-28 17:57:38,0
T00089,A1056,transfer,1526.34,9577.71,8051.369999999999,branch,Mutare,2025-05-14 07:27:33,0
T00090,A1088,deposit,4274.98,5455.14,9730.119999999999,branch,Bulawayo,2025-04-07 04:39:23,0
T00091,A1069,deposit,3557.44,4529.71,8087.15,branch,Bulawayo,2025-04-06 14:55:14,0
T00092,A1086,transfer,133.97,6117.6,5983.63,online,Masvingo,2025-05-12 16:39:57,0
T00093,A1085,payment,5747.58,5717.79,-29.789999999999964,online,Mutare,2025-05-08 14:21:14,1
T00094,A1008,deposit,3437.82,5952.36,9390.18,ATM,Bulawayo,2025-04-09 20:38:29,0
T00095,A1032,payment,4068.91,5362.77,1293.8600000000006,ATM,Masvingo,2025-04-02 06:25:29,0
T00096,A1091,transfer,681.5,9015.55,8334.05,branch,Bulawayo,2025-05-13 09:01:20,0
T00097,A1023,transfer,4008.08,9076.1,5068.02,branch,Masvingo,2025-05-19 11:43:46,0
T00098,A1069,deposit,366.5,6339.04,6705.54,ATM,Gweru,2025-04-21 14:00:32,0
T00099,A1084,deposit,1576.95,5093.74,6670.69,ATM,Mutare,2025-03-29 19:49:23,0
T00100,A1027,payment,5031.45,6086.12,1054.67,ATM,Harare,2025-05-14 06:07:03,0
T00101,A1027,deposit,1558.02,6449.16,8007.18,ATM,Bulawayo,2025-04-15 20:36:34,0
T00102,A1027,withdrawal,1439.95,2581.5,1141.55,branch,Masvingo,2025-05-18 12:20:34,0
T00103,A1095,transfer,5420.46,7922.35,2501.8900000000003,ATM,Mutare,2025-03-30 02:13:05,0
T00104,A1080,payment,3369.58,9745.79,6376.210000000001,branch,Harare,2025-04-16 17:54:28,0
T00105,A1039,payment,4732.36,2790.27,-1942.0899999999997,mobile,Mutare,2025-04-11 03:49:19,1
T00106,A1100,withdrawal,966.83,2295.31,1328.48,mobile,Gweru,2025-04-13 10:45:37,0
T00107,A1027,deposit,4751.53,5799.6,10551.130000000001,mobile,Bulawayo,2025-05-15 23:02:20,0
T00108,A1096,withdrawal,1976.66,6063.33,4086.67,online,Bulawayo,2025-04-25 15:11:28,0
T00109,A1042,transfer,5187.58,7665.68,2478.1000000000004,mobile,Gweru,2025-03-25 06:14:34,0
T00110,A1006,withdrawal,5214.85,9842.31,4627.459999999999,mobile,Mutare,2025-04-12 04:43:14,1
T00111,A1071,payment,3999.71,3880.3,-119.40999999999985,ATM,Gweru,2025-04-16 16:45:08,1
T00112,A1063,deposit,3004.68,8032.2,11036.88,online,Bulawayo,2025-04-12 01:53:18,0
T00113,A1032,deposit,2197.53,2133.14,4330.67,online,Masvingo,2025-04-10 21:48:29,0
T00114,A1072,transfer,5385.32,5730.52,345.2000000000007,ATM,Bulawayo,2025-04-15 04:13:09,0
T00115,A1033,deposit,4683.47,4494.52,9177.990000000002,ATM,Harare,2025-05-07 14:47:17,0
T00116,A1056,payment,2018.61,6311.26,4292.650000000001,ATM,Harare,2025-05-18 09:27:06,0
T00117,A1012,transfer,3622.89,7087.41,3464.52,online,Masvingo,2025-04-03 15:10:40,0
T00118,A1043,payment,2137.95,4992.66,2854.71,ATM,Mutare,2025-03-29 01:22:32,0
T00119,A1035,deposit,3853.27,2470.61,6323.88,ATM,Masvingo,2025-04-28 19:17:45,0
T00120,A1036,deposit,3565.95,1945.99,5511.94,branch,Harare,2025-04-23 12:08:09,0
T00121,A1042,withdrawal,809.55,294.8,-514.75,branch,Harare,2025-03-27 05:55:36,1
T00122,A1031,transfer,4379.78,935.43,-3444.35,ATM,Masvingo,2025-03-31 00:36:55,1
T00123,A1039,payment,4548.52,2837.9,-1710.6200000000003,online,Bulawayo,2025-04-21 13:54:04,1
T00124,A1022,payment,4000.09,5727.18,1727.0900000000001,ATM,Mutare,2025-04-25 17:10:37,0
T00125,A1064,payment,5803.51,8706.12,2902.6100000000006,branch,Bulawayo,2025-03-30 01:18:57,0
T00126,A1043,transfer,3584.39,7862.48,4278.09,mobile,Mutare,2025-04-01 17:21:39,0
T00127,A1056,deposit,242.73,8135.63,8378.36,online,Bulawayo,2025-04-27 12:35:15,0
T00128,A1000,withdrawal,4575.6,2503.66,-2071.9400000000005,ATM,Bulawayo,2025-04-14 06:07:24,1
T00129,A1012,withdrawal,4472.23,9236.08,4763.85,mobile,Mutare,2025-04-07 12:17:12,0
T00130,A1055,payment,189.92,4608.36,4418.44,mobile,Gweru,2025-03-27 16:41:58,0
T00131,A1030,deposit,1267.29,4326.51,5593.8,branch,Mutare,2025-05-03 07:02:15,0
T00132,A1086,withdrawal,4462.13,9260.92,4798.79,mobile,Masvingo,2025-05-04 01:29:26,0
T00133,A1024,payment,5144.03,480.84,-4663.19,online,Harare,2025-04-11 03:42:43,1
T00134,A1073,withdrawal,4328.92,8961.29,4632.370000000001,ATM,Masvingo,2025-04-27 08:37:11,0
T00135,A1004,transfer,1694.92,4169.19,2474.2699999999995,ATM,Masvingo,2025-05-20 16:32:07,0
T00136,A1010,withdrawal,153.61,8561.61,8408.0,ATM,Gweru,2025-04-22 07:20:31,0
T00137,A1005,transfer,670.38,9488.2,8817.820000000002,branch,Gweru,2025-04-02 00:43:58,0
T00138,A1090,payment,5162.45,3766.75,-1395.6999999999998,mobile,Gweru,2025-04-16 13:09:23,1
T00139,A1060,transfer,4959.04,1472.58,-3486.46,branch,Gweru,2025-04-18 08:26:40,1
T00140,A1002,transfer,2715.82,2566.38,-149.44000000000005,online,Harare,2025-03-24 14:04:40,1
T00141,A1005,deposit,3905.84,953.28,4859.12,branch,Harare,2025-03-29 18:00:35,0
T00142,A1003,payment,1963.09,9751.07,7787.98,online,Harare,2025-04-14 06:55:27,0
T00143,A1084,payment,5541.96,8203.18,2661.2200000000003,ATM,Gweru,2025-04-17 03:52:51,0
T00144,A1095,withdrawal,1258.18,8399.51,7141.33,ATM,Bulawayo,2025-05-10 14:39:39,0
T00145,A1074,payment,2917.16,9408.02,6490.860000000001,ATM,Masvingo,2025-04-18 23:32:10,0
T00146,A1025,deposit,4666.39,9508.44,14174.830000000002,online,Bulawayo,2025-05-14 20:18:34,0
T00147,A1006,deposit,2782.29,1186.03,3968.3199999999997,mobile,Bulawayo,2025-03-28 04:42:15,0
T00148,A1030,withdrawal,3080.86,3323.04,242.17999999999984,branch,Mutare,2025-05-04 21:01:26,0
T00149,A1023,deposit,4457.16,2041.41,6498.57,branch,Bulawayo,2025-04-29 17:30:45,0
T00150,A1042,transfer,2981.15,8208.37,5227.220000000001,online,Bulawayo,2025-04-15 06:19:44,0
T00151,A1026,transfer,1094.16,7056.6,5962.4400000000005,branch,Bulawayo,2025-04-29 21:40:50,0
T00152,A1067,withdrawal,75.73,7038.06,6962.330000000001,mobile,Masvingo,2025-04-14 20:48:04,0
T00153,A1016,withdrawal,1985.43,2458.39,472.9599999999998,online,Harare,2025-04-10 08:32:45,0
T00154,A1080,withdrawal,445.81,2034.45,1588.64,ATM,Mutare,2025-05-17 02:06:17,0
T00155,A1085,payment,3896.11,4250.76,354.6500000000001,online,Masvingo,2025-05-02 13:03:58,0
T00156,A1081,deposit,954.05,4150.21,5104.26,branch,Mutare,2025-04-18 08:25:22,0
T00157,A1032,transfer,3066.05,7019.11,3953.0599999999995,mobile,Masvingo,2025-03-22 22:07:24,0
T00158,A1011,deposit,3608.49,2435.19,6043.68,online,Bulawayo,2025-03-27 15:31:59,0
T00159,A1089,withdrawal,595.13,707.2,112.07000000000005,online,Bulawayo,2025-03-26 02:40:24,0
T00160,A1098,payment,4416.96,8283.79,3866.830000000001,online,Harare,2025-04-19 06:49:27,0
T00161,A1039,payment,2309.28,6885.51,4576.23,ATM,Harare,2025-05-18 21:45:33,0
T00162,A1055,transfer,3072.94,3448.06,375.1199999999999,mobile,Harare,2025-05-18 06:10:25,0
T00163,A1006,payment,4695.25,3934.83,-760.4200000000001,online,Bulawayo,2025-04-18 20:40:53,1
T00164,A1030,payment,4754.31,571.48,-4182.83,online,Bulawayo,2025-05-09 19:49:11,1
T00165,A1070,deposit,2782.89,7737.74,10520.63,ATM,Mutare,2025-04-08 02:44:51,0
T00166,A1087,transfer,4893.28,5656.26,762.9800000000005,mobile,Harare,2025-03-26 03:45:46,0
T00167,A1005,withdrawal,5008.72,8987.54,3978.8200000000006,ATM,Bulawayo,2025-04-06 10:24:17,1
T00168,A1072,transfer,5611.23,6297.95,686.7200000000003,online,Mutare,2025-04-16 05:52:19,0
T00169,A1000,payment,2235.24,2653.06,417.82000000000016,ATM,Bulawayo,2025-05-18 19:46:31,0
T00170,A1017,withdrawal,872.89,8701.58,7828.69,ATM,Gweru,2025-04-21 20:11:32,0
T00171,A1070,withdrawal,3479.93,2350.0,-1129.9299999999998,ATM,Gweru,2025-04-28 05:48:26,1
T00172,A1057,withdrawal,723.71,1235.19,511.48,mobile,Harare,2025-04-29 07:56:13,0
T00173,A1088,transfer,1870.12,6745.73,4875.61,branch,Harare,2025-05-10 14:37:35,0
T00174,A1082,payment,4433.8,2873.22,-1560.5800000000004,branch,Bulawayo,2025-04-22 20:05:08,1
T00175,A1000,payment,1380.1,6141.14,4761.040000000001,mobile,Masvingo,2025-04-11 17:10:15,0
T00176,A1003,payment,2804.28,7041.84,4237.5599999999995,online,Masvingo,2025-04-06 23:28:52,0
T00177,A1059,payment,1362.74,4219.3,2856.5600000000004,online,Masvingo,2025-04-25 07:21:16,0
T00178,A1044,transfer,5122.91,5105.01,-17.899999999999636,online,Harare,2025-03-24 18:05:30,1
T00179,A1067,payment,5871.85,9570.42,3698.5699999999997,online,Bulawayo,2025-05-08 19:05:01,0
T00180,A1023,payment,3851.31,1504.02,-2347.29,mobile,Masvingo,2025-04-27 02:55:09,1
T00181,A1040,deposit,2850.31,6382.39,9232.7,branch,Mutare,2025-04-22 18:50:51,0
T00182,A1048,withdrawal,5548.18,1639.21,-3908.9700000000003,ATM,Mutare,2025-05-05 07:18:29,1
T00183,A1003,deposit,4359.48,1053.34,5412.82,mobile,Gweru,2025-04-10 07:11:33,0
T00184,A1092,withdrawal,1945.28,2931.47,986.1899999999998,mobile,Bulawayo,2025-03-24 18:07:47,0
T00185,A1014,withdrawal,525.93,580.04,54.110000000000014,ATM,Gweru,2025-03-31 15:23:42,0
T00186,A1006,payment,4520.79,5046.27,525.4800000000005,mobile,Gweru,2025-04-09 20:42:18,0
T00187,A1059,withdrawal,5466.48,863.91,-4602.57,ATM,Gweru,2025-03-25 02:06:20,1
T00188,A1093,transfer,3373.03,7376.19,4003.1599999999994,online,Bulawayo,2025-05-09 21:31:39,0
T00189,A1033,payment,4286.73,413.84,-3872.8899999999994,mobile,Harare,2025-03-27 23:08:41,1
T00190,A1056,transfer,3057.98,3811.43,753.4499999999998,mobile,Bulawayo,2025-05-05 17:51:22,0
T00191,A1020,withdrawal,2753.39,3880.33,1126.94,online,Harare,2025-05-10 04:17:13,0
T00192,A1009,deposit,4661.22,3693.41,8354.630000000001,online,Gweru,2025-04-09 08:25:34,0
T00193,A1066,transfer,4230.78,4409.91,179.1300000000001,ATM,Gweru,2025-04-28 06:21:07,0
T00194,A1003,payment,5522.06,3000.86,-2521.2000000000003,online,Bulawayo,2025-05-07 19:28:04,1
T00195,A1067,transfer,2303.63,6963.89,4660.26,branch,Mutare,2025-05-07 15:44:02,0
T00196,A1019,deposit,1630.32,8289.15,9919.47,online,Harare,2025-04-25 10:06:10,0
T00197,A1085,payment,3458.13,5068.84,1610.71,mobile,Bulawayo,2025-05-12 14:48:12,0
T00198,A1047,transfer,2446.61,7108.47,4661.860000000001,ATM,Masvingo,2025-03-23 02:56:56,0
T00199,A1073,transfer,2114.51,2749.39,634.8799999999997,branch,Gweru,2025-05-13 05:42:17,0
T00200,A1074,payment,5038.89,6412.71,1373.8199999999997,ATM,Masvingo,2025-04-18 12:01:29,0
T00201,A1059,withdrawal,327.82,3667.44,3339.62,online,Mutare,2025-04-07 01:20:35,0
T00202,A1009,withdrawal,1172.86,3820.75,2647.8900000000003,mobile,Harare,2025-03-31 11:24:58,0
T00203,A1022,payment,3696.28,6502.02,2805.7400000000002,online,Mutare,2025-05-04 17:35:24,0
T00204,A1049,transfer,268.41,4136.7,3868.29,mobile,Masvingo,2025-04-05 19:34:25,0
T00205,A1081,payment,3555.07,3381.79,-173.2800000000002,ATM,Mutare,2025-05-07 19:49:32,1
T00206,A1052,deposit,660.98,8256.32,8917.3,ATM,Masvingo,2025-03-25 07:23:28,0
T00207,A1093,deposit,3652.39,2103.8,5756.1900000000005,mobile,Gweru,2025-03-24 02:55:43,0
T00208,A1061,deposit,2026.48,1146.05,3172.5299999999997,branch,Gweru,2025-04-20 03:50:56,0
T00209,A1070,withdrawal,5538.1,2490.64,-3047.4600000000005,online,Masvingo,2025-05-18 18:26:39,1
T00210,A1006,deposit,4274.62,6413.77,10688.39,ATM,Harare,2025-05-06 01:29:49,0
T00211,A1076,transfer,3923.34,402.88,-3520.46,branch,Bulawayo,2025-04-16 05:02:27,1
T00212,A1056,transfer,494.45,1769.69,1275.24,mobile,Bulawayo,2025-05-13 14:51:49,0
T00213,A1056,withdrawal,5681.88,4524.2,-1157.6800000000003,mobile,Mutare,2025-05-17 00:49:45,1
T00214,A1058,withdrawal,4501.15,1754.64,-2746.5099999999993,online,Mutare,2025-03-24 19:53:22,1
T00215,A1091,payment,4550.61,8230.21,3679.5999999999995,ATM,Mutare,2025-04-05 07:38:19,0
T00216,A1078,deposit,4444.68,2470.22,6914.9,online,Mutare,2025-04-20 00:07:23,0
T00217,A1028,transfer,3409.01,4705.22,1296.21,mobile,Gweru,2025-04-10 13:19:48,0
T00218,A1076,transfer,2012.76,5267.99,3255.2299999999996,ATM,Harare,2025-03-28 10:04:13,0
T00219,A1094,payment,675.04,4022.81,3347.77,mobile,Masvingo,2025-04-30 07:47:33,0
T00220,A1063,withdrawal,21.86,5345.2,5323.34,mobile,Bulawayo,2025-04-05 17:29:56,0
T00221,A1076,payment,3649.81,5380.09,1730.2800000000002,ATM,Mutare,2025-05-09 18:37:08,0
T00222,A1046,deposit,4869.58,9098.12,13967.7,online,Gweru,2025-05-16 02:09:37,0
T00223,A1007,payment,5975.5,434.19,-5541.31,branch,Bulawayo,2025-05-18 09:01:12,1
T00224,A1029,payment,5202.67,9563.68,4361.01,mobile,Bulawayo,2025-03-26 17:11:03,0
T00225,A1073,withdrawal,3823.44,5342.2,1518.7599999999998,mobile,Masvingo,2025-04-14 08:44:00,0
T00226,A1053,withdrawal,1941.14,9237.36,7296.22,mobile,Masvingo,2025-05-05 19:52:35,0
T00227,A1061,deposit,2532.74,3744.25,6276.99,ATM,Gweru,2025-04-25 15:09:00,0
T00228,A1053,payment,5832.71,3226.36,-2606.35,ATM,Mutare,2025-05-18 07:29:26,1
T00229,A1035,deposit,4213.63,7893.68,12107.310000000001,mobile,Masvingo,2025-05-20 05:57:27,0
T00230,A1011,withdrawal,5572.13,9735.23,4163.099999999999,ATM,Mutare,2025-04-29 23:03:53,1
T00231,A1061,transfer,318.42,3545.71,3227.29,online,Gweru,2025-04-30 17:49:05,0
T00232,A1084,transfer,4881.09,4017.57,-863.52,mobile,Mutare,2025-04-23 10:45:20,1
T00233,A1006,withdrawal,3531.97,3841.57,309.60000000000036,mobile,Gweru,2025-03-27 04:38:22,0
T00234,A1052,payment,853.17,298.69,-554.48,branch,Mutare,2025-03-29 01:56:44,1
T00235,A1018,payment,3432.49,7523.49,4091.0,ATM,Masvingo,2025-04-26 16:09:34,0
T00236,A1080,payment,3616.78,4590.68,973.9000000000001,online,Bulawayo,2025-04-10 12:05:21,0
T00237,A1030,deposit,1090.96,328.2,1419.16,branch,Masvingo,2025-05-16 08:22:47,0
T00238,A1017,withdrawal,1394.31,4966.69,3572.3799999999997,mobile,Bulawayo,2025-05-17 08:21:15,0
T00239,A1012,withdrawal,2077.45,587.98,-1489.4699999999998,mobile,Gweru,2025-04-12 15:11:29,1
T00240,A1098,transfer,965.81,7509.88,6544.07,ATM,Gweru,2025-05-16 00:33:45,0
T00241,A1018,deposit,4208.37,8182.28,12390.65,branch,Gweru,2025-05-12 01:20:12,0
T00242,A1077,payment,1399.18,3918.6,2519.42,online,Gweru,2025-04-11 21:30:30,0
T00243,A1058,deposit,1224.54,7713.42,8937.96,ATM,Gweru,2025-04-22 16:56:37,0
T00244,A1004,deposit,3231.88,8624.3,11856.18,branch,Harare,2025-04-14 10:20:36,0
T00245,A1019,transfer,5163.1,5583.62,420.5199999999995,branch,Bulawayo,2025-04-21 19:00:07,0
T00246,A1065,payment,1799.71,5323.1,3523.3900000000003,branch,Mutare,2025-04-23 06:16:21,0
T00247,A1023,deposit,956.41,8679.39,9635.8,online,Mutare,2025-04-01 19:07:42,0
T00248,A1049,deposit,3410.45,2123.35,5533.799999999999,online,Gweru,2025-05-15 03:36:26,0
T00249,A1053,payment,2677.19,8839.16,6161.969999999999,ATM,Mutare,2025-03-28 09:36:24,0
T00250,A1023,withdrawal,3241.53,5367.52,2125.9900000000002,online,Gweru,2025-05-19 04:24:13,0
T00251,A1093,deposit,3846.17,1856.86,-1989.3100000000002,branch,Bulawayo,2025-05-16 12:00:30,1
T00252,A1003,deposit,3621.27,337.35,3958.62,branch,Mutare,2025-05-07 03:25:05,0
T00253,A1095,transfer,5918.6,7385.01,1466.4099999999999,ATM,Mutare,2025-05-16 08:22:55,0
T00254,A1040,deposit,544.18,5767.54,6311.72,branch,Gweru,2025-05-05 11:11:00,0
T00255,A1066,transfer,2025.06,488.9,-1536.1599999999999,ATM,Mutare,2025-04-19 08:23:55,1
T00256,A1003,withdrawal,3719.01,9420.65,5701.639999999999,mobile,Gweru,2025-03-25 14:57:58,0
T00257,A1021,withdrawal,1705.24,4829.97,3124.7300000000005,ATM,Mutare,2025-03-27 02:07:02,0
T00258,A1067,deposit,585.63,7914.7,8500.33,mobile,Harare,2025-05-15 10:01:35,0
T00259,A1052,withdrawal,1323.08,6844.18,5521.1,online,Mutare,2025-04-12 20:59:44,0
T00260,A1006,withdrawal,4471.38,5115.45,644.0699999999997,ATM,Mutare,2025-04-28 23:48:30,0
T00261,A1090,transfer,303.64,7313.81,7010.17,ATM,Mutare,2025-03-28 14:47:04,0
T00262,A1081,deposit,2257.23,7648.52,9905.75,mobile,Harare,2025-05-06 23:59:19,0
T00263,A1071,payment,4424.13,1160.18,-3263.95,ATM,Gweru,2025-04-29 11:06:26,1
T00264,A1009,withdrawal,2233.4,3876.44,1643.04,ATM,Harare,2025-05-19 12:13:06,0
